"Section","Graphic Name / ID","Purpose","Style & Vibe","Suggested Dimensions"
"Hero","hero_pipeline_mockup","Represents the ingestion and processing flow.","A clean diagram showing Intake (Web/SMS) -> AxoSure Logic Engine -> Carrier/Underwriter Bind. Minimal line-art, no gradients.","1200 x 675 px (16:9)"
"Intake (Card 3)","integrations_map_graphic","Shows connectivity between AxoSure Voice/Chat and CRMs.","A central AxoSure icon wired to a few CRM nodes (e.g. Salesforce, HubSpot). Minimalist node-link style.","800 x 450 px (16:9)"
"Automation 3A","paperwork_processing_modal","'AxoSure working...' Header, 'Extracting ACORD 125 PDF (98%)' and progress bar.","Pure white container, 1px solid black border, light gray background bars.","Responsive UI"
"Automation 3B","underwriting_referral_modal","'Posting MGA Bordereaux Batch', 2 referrals flagged, and a status progress fill.","Match 3A modal style, using a solid highlight for warning/flag items.","Responsive UI"
"Integrations Logos","applied_epic_logo","Integration badge for Applied Epic","Solid black vector of Applied Epic logo","Scalable SVG"
"Integrations Logos","vertafore_logo","Integration badge for Vertafore","Solid black vector of Vertafore logo","Scalable SVG"
"Integrations Logos","guidewire_logo","Integration badge for Guidewire","Solid black vector of Guidewire logo","Scalable SVG"
"Integrations Logos","duck_creek_logo","Integration badge for Duck Creek","Solid black vector of Duck Creek logo","Scalable SVG"
"Integrations Logos","hawksoft_logo","Integration badge for HawkSoft","Solid black vector of HawkSoft logo","Scalable SVG"
"Integrations Logos","ezlynx_logo","Integration badge for EZLynx","Solid black vector of EZLynx logo","Scalable SVG"
"Integrations Logos","nowcerts_logo","Integration badge for NowCerts","Solid black vector of NowCerts logo","Scalable SVG"
"Integrations Logos","agencymatrix_logo","Integration badge for AgencyMatrix","Solid black vector of AgencyMatrix logo","Scalable SVG"
"UI Icons","speed_to_lead_icon","Workflow grid icon","Lightning bolt icon (monochrome SVG)","16x16 or 24x24 px"
"UI Icons","acord_extraction_icon","Workflow grid icon","Document / text outline icon (monochrome SVG)","16x16 or 24x24 px"
"UI Icons","coi_endorsements_icon","Workflow grid icon","Shield or locked document icon (monochrome SVG)","16x16 or 24x24 px"
"UI Icons","renewal_remarketing_icon","Workflow grid icon","Reloading circular arrows icon (monochrome SVG)","16x16 or 24x24 px"
"UI Icons","bordereaux_aggregator_icon","Workflow grid icon","Chart / sheet rows icon (monochrome SVG)","16x16 or 24x24 px"
"UI Icons","fnol_triage_icon","Workflow grid icon","Shield with triage pulse line icon (monochrome SVG)","16x16 or 24x24 px"
