"Section","Key","Text Content"
"Header","Title","AxoSure"
"Header","CTA Text","Request Demo"
"Hero","Headline","The operational OS for insurance growth & servicing."
"Hero","Description","By combining conversational AI (Voice, Chat, Email), document parsing (OCR/NLP), and automated API integrations, AxoSure handles complex workflows across the entire insurance lifecycle—from acquisition to retention."
"Hero","Primary CTA","Try AxoSure OS"
"Hero","Secondary CTA","Explore Workflows"
"Intake","Badge","Section 2: Intake Grid"
"Intake","Headline","AI-driven solutions for end-to-end resolution of calls, emails, and SMS."
"Intake","Description","Answer every incoming claim, lead, or request instantly and automate downstream processing."
"Intake - Card 1","Title","Fully resolve inquiries."
"Intake - Card 1","Description","Customers can file claims entirely through AI quickly and easily, from identity verification to claim submission."
"Intake - Card 1","Button Text","Available Now (Voice AI)"
"Intake - Card 2","Title","Always-on support."
"Intake - Card 2","Description","Never miss a call or message. 24/7 AI handles inquiries automatically and delivers reliable customer service instantly."
"Intake - Card 2","Bubble Text","AxoSure Voice: ""Your claim has been automatically created for your water damage."""
"Intake - Card 3","Title","Out of the box integrations."
"Intake - Card 3","Description","We integrate Voice/Chat AI with your core systems to update CRMs, generate leads, and manage policies automatically."
"Automation - Paperwork","Badge","Section 3A: Sub-processing Modal"
"Automation - Paperwork","Headline","AxoSure does your paperwork."
"Automation - Paperwork","Description","Handling risk ingestion, extracting Prior Dec Sheets, auto-filling ACORD 125/126/130 applications, and mapping variables instantly to carrier portals."
"Automation - Paperwork","Modal Title","AxoSure working..."
"Automation - Loop","Badge","Section 3B: Loop Verification"
"Automation - Loop","Headline","Keeps you in the loop."
"Automation - Loop","Description","Watch AxoSure complete your servicing paperwork, flagging only binding guidelines violations or non-standard risks to human underwriters."
"Automation - Loop","Modal Title","Posting MGA Bordereaux Batch"
"Automation - Loop","ETA","Estimated 12 seconds remaining..."
"Workflows","Badge","Section 4: Workflow Grid"
"Workflows","Headline","Find the workflow built for your insurance operations."
"Workflows","Description","Filter by where it runs across your front, mid, and back office."
"Workflows - Item 1","Category","GROWTH & SALES"
"Workflows - Item 1","Tag","Inbound + Outbound"
"Workflows - Item 1","Title","Speed-to-Lead Response"
"Workflows - Item 1","Description","Digital aggregators and web forms generate real-time lead payloads. The OS initiates automated SMS or Voice AI calls within seconds."
"Workflows - Item 1","Metric","Reduced Speed-to-Lead (<30s)"
"Workflows - Item 2","Category","GROWTH & SALES"
"Workflows - Item 2","Tag","Inbound"
"Workflows - Item 2","Title","ACORD Extraction"
"Workflows - Item 2","Description","Intelligent OCR/NLP parses unstructured PDFs into structured JSON and generates pre-filled ACORD forms ready for market submission."
"Workflows - Item 2","Metric","80% reduction in manual data entry"
"Workflows - Item 3","Category","POLICY SERVICING"
"Workflows - Item 3","Tag","Automated"
"Workflows - Item 3","Title","COI & Endorsements"
"Workflows - Item 3","Description","AI identifies request type, policy number, validates status in AMS, and delivers compliant PDF certificates instantly via email/SMS."
"Workflows - Item 3","Metric","24/7 instant fulfillment"
"Workflows - Item 4","Category","POLICY SERVICING"
"Workflows - Item 4","Tag","Automated"
"Workflows - Item 4","Title","Renewal Auto-Remarketing"
"Workflows - Item 4","Description","Pre-renewal audits query carrier rates. If increases exceed thresholds, the OS collects updated exposure details and auto-shops alternatives."
"Workflows - Item 4","Metric","Reduced policyholder churn"
"Workflows - Item 5","Category","MGA UNDERWRITING"
"Workflows - Item 5","Tag","Automated"
"Workflows - Item 5","Title","Bordereaux Aggregator"
"Workflows - Item 5","Description","Pulls bind and premium logs, maps to carrier-specific Excel/CSV schemas, executes compliance checks, and auto-delivers monthly reports."
"Workflows - Item 5","Metric","Automated regulatory compliance"
"Workflows - Item 6","Category","CLAIMS (FNOL)"
"Workflows - Item 6","Tag","Inbound"
"Workflows - Item 6","Title","AI FNOL Triage"
"Workflows - Item 6","Description","Collects mandatory loss fields via Voice AI or chat, verifies deductible, and generates ACORD Loss Notices pushed to carrier APIs."
"Workflows - Item 6","Metric","Rapid triage & Improved CSAT"
"Integrations","Badge","Section 5: Integration Grid"
"Integrations","Headline","Every workflow writes back into the systems you already run."
"Integrations","Description","AxoSure connects directly to your Agency Management Systems (AMS), Policy Admin Systems (PAS), and telephony. Your workflows stay the same. They just run faster."
"Integrations","Footer Text","40+ live integrations across AMS, PAS, and telephony."
"Integrations","CTA Text","Explore Integrations"
"Footer","Copyright","All rights reserved. Built using the Hugging Face design system wireframe tokens."
